Setting MPI environment
Thread 3 from rank 0
Thread 4 from rank 0
Thread 2 from rank 0
Thread 5 from rank 0
Thread 1 from rank 0
Thread 0 from rank 0
Reading parameters:
	 rhs_function=1
	 nx=161
	 ny=161
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 26 0 161
I am writing output_source
Step 1, Diff=0.0306305
Step 2, Diff=0.0306069
Step 3, Diff=0.0305833
Step 4, Diff=0.0305597
Step 5, Diff=0.0305362
Step 6, Diff=0.0305126
Step 7, Diff=0.0304891
Step 8, Diff=0.0304656
Step 9, Diff=0.0304421
Step 10, Diff=0.0304186
Step 11, Diff=0.0303952
Step 12, Diff=0.0303718
Step 13, Diff=0.0303483
Step 14, Diff=0.0303249
Step 15, Diff=0.0303016
Step 16, Diff=0.0302782
Step 17, Diff=0.0302549
Step 18, Diff=0.0302315
Step 19, Diff=0.0302082
Step 20, Diff=0.0301849
Step 21, Diff=0.0301617
Step 22, Diff=0.0301384
Step 23, Diff=0.0301152
Step 24, Diff=0.030092
Step 25, Diff=0.0300688
Step 26, Diff=0.0300456
Step 27, Diff=0.0300224
Step 28, Diff=0.0299993
Step 29, Diff=0.0299761
Step 30, Diff=0.029953
Step 31, Diff=0.0299299
Step 32, Diff=0.0299069
Step 33, Diff=0.0298838
Step 34, Diff=0.0298608
Step 35, Diff=0.0298377
Step 36, Diff=0.0298147
Step 37, Diff=0.0297917
Step 38, Diff=0.0297688
Step 39, Diff=0.0297458
Step 40, Diff=0.0297229
Step 41, Diff=0.0297
Step 42, Diff=0.0296771
Step 43, Diff=0.0296542
Step 44, Diff=0.0296313
Step 45, Diff=0.0296085
Step 46, Diff=0.0295857
Step 47, Diff=0.0295629
Step 48, Diff=0.0295401
Step 49, Diff=0.0295173
Step 50, Diff=0.0294945
Step 51, Diff=0.0294718
Step 52, Diff=0.0294491
Step 53, Diff=0.0294264
Step 54, Diff=0.0294037
Step 55, Diff=0.029381
Step 56, Diff=0.0293584
Step 57, Diff=0.0293357
