params: /var/spool/slurmd/job30980539/slurm_script, params_128.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=128
	 ny=128
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 128 0 128
I am rank 0, my neighbours are: left: -1, right: -1, bottom: -1, top: -1
I am writing output_source
Step 1, Diff=0.015625
Step 2, Diff=0.00867988
Step 3, Diff=0.00627209
Step 4, Diff=0.00500116
Step 5, Diff=0.00420191
Step 6, Diff=0.00364721
Step 7, Diff=0.00323695
Step 8, Diff=0.00291967
Step 9, Diff=0.00266607
Step 10, Diff=0.00245813
Step 11, Diff=0.00228414
Step 12, Diff=0.00213614
Step 13, Diff=0.00200851
Step 14, Diff=0.00189717
Step 15, Diff=0.00179908
Step 16, Diff=0.00171192
Step 17, Diff=0.00163389
Step 18, Diff=0.00156358
Step 19, Diff=0.00149985
Step 20, Diff=0.00144178
Step 21, Diff=0.00138863
Step 22, Diff=0.00133976
Step 23, Diff=0.00129467
Step 24, Diff=0.0012529
Step 25, Diff=0.0012141
Step 26, Diff=0.00117795
Step 27, Diff=0.00114417
Step 28, Diff=0.00111252
Step 29, Diff=0.00108281
Step 30, Diff=0.00105485
Step 31, Diff=0.00102849
Step 32, Diff=0.00100358
Step 33, Diff=0.000980016
Step 34, Diff=0.000957674
Step 35, Diff=0.00093646
Step 36, Diff=0.000916289
Step 37, Diff=0.000897082
Step 38, Diff=0.000878769
Step 39, Diff=0.000861286
Step 40, Diff=0.000844575
Step 41, Diff=0.000828585
Step 42, Diff=0.000813267
Step 43, Diff=0.000798579
Step 44, Diff=0.000784481
Step 45, Diff=0.000770936
Step 46, Diff=0.000757912
Step 47, Diff=0.000745377
Step 48, Diff=0.000733303
Step 49, Diff=0.000721664
Step 50, Diff=0.000710437
Step 51, Diff=0.000699598
Step 52, Diff=0.000689127
Step 53, Diff=0.000679005
Step 54, Diff=0.000669214
Step 55, Diff=0.000659738
Step 56, Diff=0.00065056
Step 57, Diff=0.000641666
Step 58, Diff=0.000633043
Step 59, Diff=0.000624678
Step 60, Diff=0.00061656
Step 61, Diff=0.000608676
Step 62, Diff=0.000601016
Step 63, Diff=0.000593571
Step 64, Diff=0.000586332
Step 65, Diff=0.000579289
Step 66, Diff=0.000572434
Step 67, Diff=0.00056576
Step 68, Diff=0.000559259
Step 69, Diff=0.000552924
Step 70, Diff=0.000546749
Step 71, Diff=0.000540728
Step 72, Diff=0.000534854
Step 73, Diff=0.000529122
Step 74, Diff=0.000523527
Step 75, Diff=0.000518063
Step 76, Diff=0.000512727
Step 77, Diff=0.000507512
Step 78, Diff=0.000502416
Step 79, Diff=0.000497433
Step 80, Diff=0.00049256
Step 81, Diff=0.000487793
Step 82, Diff=0.000483129
Step 83, Diff=0.000478564
Step 84, Diff=0.000474095
Step 85, Diff=0.000469719
Step 86, Diff=0.000465432
Step 87, Diff=0.000461233
Step 88, Diff=0.000457117
Step 89, Diff=0.000453084
Step 90, Diff=0.000449129
Step 91, Diff=0.000445251
Step 92, Diff=0.000441447
Step 93, Diff=0.000437716
Step 94, Diff=0.000434054
Step 95, Diff=0.000430461
Step 96, Diff=0.000426933
Step 97, Diff=0.00042347
Step 98, Diff=0.000420069
