params: /var/spool/slurmd/job30981487/slurm_script, params_1024.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=1024
	 ny=1024
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 256 0 1024
I am rank 0, my neighbours are: left: -1, right: 1, bottom: -1, top: -1
I am writing output_source
Step 1, Diff=0.00552427
Step 2, Diff=0.00308575
Step 3, Diff=0.00223509
Step 4, Diff=0.00178538
Step 5, Diff=0.0015023
Step 6, Diff=0.00130571
Step 7, Diff=0.00116023
Step 8, Diff=0.00104766
Step 9, Diff=0.000957651
Step 10, Diff=0.000883817
Step 11, Diff=0.000822016
Step 12, Diff=0.00076943
Step 13, Diff=0.000724068
Step 14, Diff=0.000684484
Step 15, Diff=0.000649601
Step 16, Diff=0.000618596
Step 17, Diff=0.000590833
Step 18, Diff=0.000565808
Step 19, Diff=0.000543121
Step 20, Diff=0.000522445
Step 21, Diff=0.000503514
Step 22, Diff=0.000486107
Step 23, Diff=0.00047004
Step 24, Diff=0.000455158
Step 25, Diff=0.000441328
Step 26, Diff=0.000428439
Step 27, Diff=0.000416393
Step 28, Diff=0.000405107
Step 29, Diff=0.000394509
Step 30, Diff=0.000384534
Step 31, Diff=0.000375128
Step 32, Diff=0.00036624
Step 33, Diff=0.000357827
Step 34, Diff=0.000349851
Step 35, Diff=0.000342277
Step 36, Diff=0.000335073
Step 37, Diff=0.000328213
Step 38, Diff=0.000321671
Step 39, Diff=0.000315425
Step 40, Diff=0.000309453
Step 41, Diff=0.000303739
Step 42, Diff=0.000298264
Step 43, Diff=0.000293013
Step 44, Diff=0.000287972
Step 45, Diff=0.000283129
Step 46, Diff=0.000278471
Step 47, Diff=0.000273987
Step 48, Diff=0.000269668
Step 49, Diff=0.000265504
Step 50, Diff=0.000261487
Step 51, Diff=0.000257608
Step 52, Diff=0.00025386
Step 53, Diff=0.000250237
Step 54, Diff=0.000246732
Step 55, Diff=0.000243339
Step 56, Diff=0.000240053
Step 57, Diff=0.000236867
Step 58, Diff=0.000233779
Step 59, Diff=0.000230782
Step 60, Diff=0.000227874
Step 61, Diff=0.000225049
Step 62, Diff=0.000222304
Step 63, Diff=0.000219636
Step 64, Diff=0.000217041
Step 65, Diff=0.000214517
Step 66, Diff=0.000212059
Step 67, Diff=0.000209666
Step 68, Diff=0.000207335
Step 69, Diff=0.000205064
Step 70, Diff=0.000202849
Step 71, Diff=0.000200689
Step 72, Diff=0.000198582
Step 73, Diff=0.000196526
Step 74, Diff=0.000194518
Step 75, Diff=0.000192557
Step 76, Diff=0.000190642
Step 77, Diff=0.000188771
Step 78, Diff=0.000186941
Step 79, Diff=0.000185152
Step 80, Diff=0.000183403
Step 81, Diff=0.000181692
Step 82, Diff=0.000180017
Step 83, Diff=0.000178377
Step 84, Diff=0.000176772
Step 85, Diff=0.0001752
Step 86, Diff=0.00017366
Step 87, Diff=0.000172152
Step 88, Diff=0.000170673
Step 89, Diff=0.000169224
Step 90, Diff=0.000167802
Step 91, Diff=0.000166409
Step 92, Diff=0.000165041
Step 93, Diff=0.0001637
Step 94, Diff=0.000162384
Step 95, Diff=0.000161092
